acta_id,numero,origen,anio,expediente,titulo,od
424,0027,S,2010,0027-S-2010,"APROBACION DEL ACUERDO CON EL GOBIERNO DE RUMANIA PARA MODIFICAR EL ACUERDO DE COOPERACION ECONOMICA Y COMERCIAL CON EL GOBIERNO DE RUMANIA, SUSCRIPTO EL 27 DE NOVIEMBRE DE 1990, FIRMADO EN BUCAREST, RUMANIA, EL 22 DE JUNIO DE 2009.",1117
424,4222,D,2010,4222-D-2010,"RESOLUCIONES EMITIDAS POR EL MINISTERIO DE DEFENSA DE LA NACION. REMISION EN FORMA INMEDIATA A LAS COMISIONES DE DEFENSA NACIONAL DE LAS CAMARAS DE SENADORES Y DIPUTADOS.",1143
424,4427,D,2010,4427-D-2010,"EJECUCION DE LA PENA PRIVATIVA DE LA LIBERTAD (LEY 24660); MODIFICACION DEL ARTICULO 121 (DERECHOS LABORALES DE LAS PERSONAS PRIVADAS DE LIBERTAD, PECULIO, REMUNERACION DEL TRABAJO DEL INTERNO), DEROGACION DEL INCISO C) SOBRE COSTEAR LOS GASTOS QUE CAUSARE EN EL ESTABLECIMIENTO.",1264
424,0025,S,2010,0025-S-2010,"APROBACION DEL PROTOCOLO POR EL QUE SE ENMIENDA EL ACUERDO SOBRE LOS ADPIC, ADOPTADO EN GINEBRA, CONFEDERACION SUIZA, EL 6 DE DICIEMBRE DE 2005.",1301
424,0028,S,2010,0028-S-2010,"PROTOCOLO DEL PACTO INTERNACIONAL DE DERECHOS ECONOMICOS, SOCIALES Y CULTURALES, ADOPTADO POR LA ASAMBLEA GENERAL DE LAS NACIONES UNIDAS, EN NUEVA YORK, ESTADOS UNIDOS DE AMERICA, EL 10 DE DICIEMBRE DE 2008: APROBACION.",
424,1865,D,2010,1865-D-2010,"REGIMEN DE JUBILACION ANTICIPADA POR DESEMPLEO.",1642
424,5173,D,2009,5173-D-2009,"DECLARAR DE INTERES NACIONAL LA INVESTIGACION, PRODUCCION Y DISTRIBUCION PUBLICA DE MEDICAMENTOS, VACUNAS Y PRODUCTOS MEDICOS. CREACION DEL PROGRAMA NACIONAL DE INVESTIGACION, PRODUCCION Y DISTRIBUCION PUBLICA DE MEDICAMENTOS, VACUNAS Y PRODUCTOS MEDICOS. CREACION DEL PROGRAMA NACIONAL DE INVESTIGACION, PRODUCCION Y DISTRIBUCION PUBLICA DE MEDICAMENTOS, VACUNAS Y PRODUCTOS MEDICOS, EN EL AMBITO DEL MINISTERIO DE SALUD.",1645
424,1169,D,2010,1169-D-2010,"CREACION DEL PROGRAMA NACIONAL DE PRODUCCION PUBLICA ESTATAL DE VACUNAS, SUEROS, REACTIVOS Y MEDICAMENTOS (REPRODUCCION DEL EXPEDIENTE 0993-D-08).",1645
424,0236,S,2009,0236-S-2009,"APROBACION DE LA ENMIENDA AL CONVENIO DE BASILEA SOBRE EL CONTROL DE LOS MOVIMIENTOS TRANSFRONTERIZOS DE LOS DESECHOS PELIGROSOS Y SU ELIMINACION, ADOPTADA POR LA TERCERA REUNION DE LA CONFERENCIA DE LAS PARTES EN GINEBRA, CONFEDERACION SUIZA,  EL 22 DE SEPTIEMBRE DE 1995.",1647
424,0041,S,2010,0041-S-2010,"INSTITUIR EL 29 DE MAYO COMO DIA NACIONAL DEL FOLKLORISTA, EN MEMORIA DEL NATALICIO DE DON ANDRES CHAZARRETA.",1706
424,0984,D,2010,0984-D-2010,"DECLARAR EL 18 DE OCTUBRE DE CADA AÑO COMO EL DIA NACIONAL DEL PROFESOR DE TENIS.",0653
424,2504,D,2010,2504-D-2010,"""CAPITAL NACIONAL DE LA PORCELANA"". SE DECLARA COMO TAL A LA CIUDAD DE CAPITAN BERMUDEZ, PROVINCIA DE SANTA FE.",1708
424,2574,D,2010,2574-D-2010,"DECLARAR COMO ""DIA NACIONAL DE LA LIBERTAD RELIGIOSA Y DE CONCIENCIA"" EL 25 DE NOVIEMBRE DE CADA AÑO.",1710
424,0243,S,2009,0243-S-2009,"INSTITUIR EL 26 DE JULIO DE CADA AÑO, COMO DIA NACIONAL DEL MILITANTE SOCIAL.",1713
424,0711,D,2010,0711-D-2010,"DIA MUNDIAL PARA LA LUCHA CONTRA EL CANCER INFANTIL. INSTITUIRLO EL 15 DE FEBRERO DE CADA AÑO.",0654
424,1029,D,2010,1029-D-2010,"DECLARAR EL 19 DE OCTUBRE DE CADA AÑO COMO ""DIA NACIONAL DE PREVENCION CONTRA EL CANCER DE MAMA"".",1715
424,1761,D,2010,1761-D-2010,"TRASPLANTE DE ORGANOS Y MATERIALES ANATOMICOS - LEY 24193; MODIFICACION DEL ARTICULO 16, SOBRE GASTOS DEL DONANTE.",1716
