acta_id,acta_detalle_id,diputado_nombre,persona_id,bloque,distrito_nombre,voto
3890,1158609,CASTRO Sandra Daniela, ,Frente para la Victoria - PJ,San Juan,NEGATIVO
3890,1158610,CERRUTI Gabriela, ,Frente para la Victoria - PJ,C.A.B.A.,NEGATIVO
3890,1158611,CIAMPINI José Alberto, ,Frente para la Victoria - PJ,Neuquén,NEGATIVO
3890,1158612,CLERI Marcos, ,Frente para la Victoria - PJ,Santa Fe,NEGATIVO
3890,1158613,CONTIGIANI Luis Gustavo, ,Frente Progresista Cívico y Social,Santa Fe,NEGATIVO
3890,1158614,CORREA Walter, ,Frente para la Victoria - PJ,Buenos Aires,NEGATIVO
3890,1158615,CRESTO Mayda, ,Justicialista,Entre Ríos,AFIRMATIVO
3890,1158616,DAVID Javier, ,Justicialista,Salta,NEGATIVO
3890,1158617,DE MENDIGUREN José Ignacio, ,Federal Unidos por una Nueva Argentina,Buenos Aires,AFIRMATIVO
3890,1158618,DE PEDRO Eduardo Enrique, ,Frente para la Victoria - PJ,Buenos Aires,NEGATIVO
3890,1158619,DE PONTI Lucila María, ,Movimiento Evita,Santa Fe,NEGATIVO
3890,1158620,DE VIDO Julio (Suspendido Art 70 C.N.), ,Frente para la Victoria - PJ,Buenos Aires,AUSENTE
3890,1158621,DEL CAÑO Nicolás, ,PTS - Frente de Izquierda,Buenos Aires,NEGATIVO
3890,1158622,Del CERRO Gonzalo Pedro Antonio , ,Unión Cívica Radical,Santa Fe,AUSENTE
3890,1158623,Del PLÁ Romina, ,Fte. de Izquierda y de los Trabajadores,Buenos Aires,NEGATIVO
3890,1158624,DELÚ Melina Aida, ,Justicialista,La Pampa,AUSENTE
3890,1158625,DERNA Verónica, ,Frente de la Concordia Misionero,Misiones,AFIRMATIVO
3890,1158626,DI STÉFANO Daniel, ,Frente de la Concordia Misionero,Misiones,AFIRMATIVO
3890,1158627,DINDART Julián, ,Unión Cívica Radical,Corrientes,AFIRMATIVO
3890,1158628,DOÑATE Claudio Martín, ,Frente para la Victoria - PJ,Rio Negro,AUSENTE
3890,1158629,DONDA PÉREZ Victoria Analía, ,Somos,C.A.B.A.,AUSENTE
3890,1158630,ECHEGARAY Alejandro Carlos Augusto, ,Unión Cívica Radical,Buenos Aires,AFIRMATIVO
3890,1158631,ENRIQUEZ Jorge Ricardo, ,PRO,C.A.B.A.,AFIRMATIVO
3890,1158632,ESPINOZA Fernando, ,Frente para la Victoria - PJ,Buenos Aires,AUSENTE
3890,1158633,ESTEVEZ Gabriela Beatriz, ,Frente para la Victoria - PJ,Córdoba,NEGATIVO
3890,1158634,FELIX Omar, ,Somos Mendoza,Mendoza,AFIRMATIVO
3890,1158635,FERNANDEZ Carlos Alberto, ,Unión Cívica Radical,Buenos Aires,AFIRMATIVO
3890,1158636,FERNANDEZ LANGAN Ezequiel, ,PRO,Buenos Aires,AFIRMATIVO
3890,1158637,FERNANDEZ PATRI Gustavo Ramiro, ,Frente para la Victoria - PJ,Formosa,AUSENTE
3890,1158638,FERREYRA Araceli Susana Del Rosario, ,Movimiento Evita,Corrientes,AUSENTE
3890,1158639,FILMUS Daniel, ,Frente para la Victoria - PJ,C.A.B.A.,NEGATIVO
3890,1158640,FLORES Danilo Adrián, ,Justicialista,La Rioja,AFIRMATIVO
3890,1158641,FLORES Héctor Toty, ,Coalición Cívica,Buenos Aires,AFIRMATIVO
