diputado_bloque,diputado_apellido,diputado_nombres,diputado_distrito,periodo
BLOQUE FRENTE DE TODOS,LÓPEZ RODRÍGUEZ, Dante  ,CATAMARCA,2021-2025
BLOQUE FRENTE DE TODOS,MACHA, Mónica,BUENOS AIRES,2021-2025
BLOQUE FRENTE DE TODOS,MARÍN, Varinia Lis,LA PAMPA,2021-2025
BLOQUE FRENTE DE TODOS,MARINO, Juan,BUENOS AIRES,2019-2023
BLOQUE FRENTE DE TODOS,MARTÍNEZ, Germán Pedro,SANTA FE,2019-2023
BLOQUE FRENTE DE TODOS,MARTÍNEZ, María Rosa,BUENOS AIRES,2019-2023
BLOQUE FRENTE DE TODOS,MARZIOTTA, Gisela,CIUDAD AUTÓNOMA DE BUENOS AIRES,2021-2025
BLOQUE FRENTE DE TODOS,MASIN, María Lucila,CHACO,2019-2023
BLOQUE FRENTE DE TODOS,MASSETANI, Vanesa Laura,SANTA FE,2019-2023
BLOQUE FRENTE DE TODOS,MASTALER, Magali,SANTA FE,2021-2025
BLOQUE FRENTE DE TODOS,MIRABELLA, Roberto,SANTA FE,2021-2025
BLOQUE FRENTE DE TODOS,MOISÉS, María Carolina,JUJUY,2019-2023
BLOQUE FRENTE DE TODOS,MONTOTO, María Luisa ,SANTIAGO DEL ESTERO,2021-2025
BLOQUE FRENTE DE TODOS,MORAN, Micaela,BUENOS AIRES,2021-2025
BLOQUE FRENTE DE TODOS,MOREAU, Cecilia,BUENOS AIRES,2019-2023
BLOQUE FRENTE DE TODOS,MOREAU, Leopoldo ,BUENOS AIRES,2021-2025
BLOQUE FRENTE DE TODOS,MOYANO, NILDA,SANTIAGO DEL ESTERO,2021-2025
BLOQUE FRENTE DE TODOS,NAVARRO, Graciela,SANTIAGO DEL ESTERO,2019-2023
BLOQUE FRENTE DE TODOS,NEDER, Estela Mary,SANTIAGO DEL ESTERO,2019-2023
BLOQUE FRENTE DE TODOS,OBEID, Alejandra del Huerto,SANTA FE,2019-2023
BLOQUE FRENTE DE TODOS,ORMACHEA, Claudia Beatriz,BUENOS AIRES,2019-2023
BLOQUE FRENTE DE TODOS,OSUNA, Blanca Inés,ENTRE RÍOS,2019-2023
BLOQUE FRENTE DE TODOS,PALAZZO, Sergio Omar,BUENOS AIRES,2021-2025
