acta_id,acta_detalle_id,diputado_nombre,persona_id,bloque,distrito_nombre,voto
97,150633,BRAWER Mara, ,Frente para la Victoria - PJ,C.A.B.A.,AFIRMATIVO
97,150634,BRIZUELA DEL MORAL Eduardo Segundo, ,Fte. Cívico y Social de Catamarca,Catamarca,AFIRMATIVO
97,150635,BROMBERG Isaac Benjamín, ,Frente para la Victoria - PJ,Tucumán,AFIRMATIVO
97,150636,BROWN Carlos Ramón, ,Fe,Buenos Aires,AUSENTE
97,150637,BULLRICH Patricia, ,Unión PRO,C.A.B.A.,ABSTENCION
97,150638,BURGOS María Gabriela, ,Unión Cívica Radical,Jujuy,ABSTENCION
97,150639,BURYAILE Ricardo, ,Unión Cívica Radical,Formosa,ABSTENCION
97,150640,CABANDIÉ Juan, ,Frente para la Victoria - PJ,C.A.B.A.,AFIRMATIVO
97,150641,CÁCERES Eduardo Augusto, ,Unión PRO,San Juan,ABSTENCION
97,150642,CALCAGNO Y MAILLMANN Eric, ,Frente para la Victoria - PJ,Buenos Aires,AFIRMATIVO
97,150643,CAMAÑO Graciela, ,Frente Renovador ,Buenos Aires,AFIRMATIVO
97,150644,CANELA Susana, ,Frente para la Victoria - PJ,Salta,AFIRMATIVO
97,150645,CANO José Manuel, ,Unión Cívica Radical,Tucumán,ABSTENCION
97,150646,CARLOTTO Remo Gerardo, ,Frente para la Victoria - PJ,Buenos Aires,AFIRMATIVO
97,150647,CARMONA Guillermo Ramón, ,Frente para la Victoria - PJ,Mendoza,AFIRMATIVO
97,150648,CARRILLO María del Carmen, ,Frente para la Victoria - PJ,Tucumán,AFIRMATIVO
97,150649,CARRIÓ Elisa María Avelina, ,Coalición Cívica - ARI - UNEN,C.A.B.A.,ABSTENCION
97,150650,CARRIZO Ana Carla, ,SUMA + UNEN,C.A.B.A.,ABSTENCION
97,150652,CARRIZO Nilda Mabel, ,Frente para la Victoria - PJ,Tucumán,AFIRMATIVO
97,150651,CARRIZO Soledad, ,Unión Cívica Radical,Córdoba,ABSTENCION
97,150653,CASAÑAS Juan Francisco, ,Unión Cívica Radical,Tucumán,AUSENTE
97,150654,CASELLES Graciela María, ,Frente para la Victoria - PJ,San Juan,AFIRMATIVO
97,150655,CASERIO Carlos Alberto, ,Unión por Córdoba,Córdoba,AUSENTE
97,150656,CASTRO Sandra Daniela, ,Frente para la Victoria - PJ,San Juan,AFIRMATIVO
97,150657,CEJAS Jorge Alberto, ,Frente para la Victoria - PJ,Rio Negro,AFIRMATIVO
97,150658,CIAMPINI José Alberto, ,Frente para la Victoria - PJ,Neuquén,AFIRMATIVO
97,150659,CICILIANI Alicia Mabel, ,Partido Socialista,Santa Fe,ABSTENCION
97,150660,CLERI Marcos, ,Frente para la Victoria - PJ,Santa Fe,AFIRMATIVO
97,150661,COBOS Julio César Cleto, ,Unión Cívica Radical,Mendoza,ABSTENCION
97,150662,COMELLI Alicia Marcela, ,Movimiento Popular Neuquino,Neuquén,AFIRMATIVO
97,150663,CONTI Diana Beatriz, ,Frente para la Victoria - PJ,Buenos Aires,AFIRMATIVO
97,150664,CONTRERA Mónica Graciela, ,Frente para la Victoria - PJ,Chubut,AFIRMATIVO
97,150665,CORTINA Roy, ,Partido Socialista,C.A.B.A.,ABSTENCION
97,150666,COSTA Eduardo Raúl, ,Unión Cívica Radical,Santa Cruz,ABSTENCION
97,150667,CREMER DE BUSTI María Cristina, ,Unión por Entre Ríos,Entre Ríos,AFIRMATIVO
97,150668,CUCCOVILLO Ricardo Oscar, ,Partido Socialista,Buenos Aires,AUSENTE
97,150669,D'AGOSTINO Jorge Marcelo, ,Unión Cívica Radical,Entre Ríos,ABSTENCION
97,150670,D'ALESSANDRO Marcelo Silvio, ,Frente Renovador ,Buenos Aires,AFIRMATIVO
97,150671,DAER Héctor Ricardo, ,Frente Renovador ,Buenos Aires,AFIRMATIVO
97,150672,DAS NEVES Mario, ,Trabajo y Dignidad,Chubut,AFIRMATIVO
97,150673,DATO Alfredo Carlos, ,Frente para la Victoria - PJ,Tucumán,AFIRMATIVO
97,150674,DE FERRARI RUEDA Patricia, ,Unión Cívica Radical,Córdoba,ABSTENCION
97,150675,DE GENNARO Victor Norberto, ,Unidad Popular,Buenos Aires,AFIRMATIVO
97,150676,DE MENDIGUREN José Ignacio, ,Frente Renovador ,Buenos Aires,AFIRMATIVO
97,150677,DE NARVAEZ Francisco, ,Unión Celeste y Blanco,Buenos Aires,AUSENTE
97,150678,DE PEDRO Eduardo Enrique, ,Frente para la Victoria - PJ,Buenos Aires,AFIRMATIVO
97,150679,DEL CAÑO Nicolás, ,PTS - Frente de Izquierda,Mendoza,AFIRMATIVO
97,150680,DEPETRI Edgardo Fernando, ,Frente para la Victoria - PJ,Buenos Aires,AFIRMATIVO
97,150681,di TULLIO Juliana, ,Frente para la Victoria - PJ,Buenos Aires,AFIRMATIVO
97,150682,DIAZ BANCALARI José María, ,Frente para la Victoria - PJ,Buenos Aires,AFIRMATIVO
97,150683,DIAZ ROIG Juan Carlos, ,Frente para la Victoria - PJ,Formosa,AFIRMATIVO
97,150684,DOMINGUEZ Julián Andrés, ,Frente para la Victoria - PJ,Buenos Aires,AUSENTE
97,150685,DONDA PÉREZ Victoria Analía, ,Libres del Sur,Buenos Aires,AUSENTE
97,150686,DONKIN Carlos Guillermo, ,Frente para la Victoria - PJ,Formosa,AFIRMATIVO
97,150687,DUCLOS Omar Arnaldo, ,GEN,Buenos Aires,ABSTENCION
97,150688,DURAND CORNEJO Guillermo Mario, ,Conservador Popular,Salta,ABSTENCION
97,150689,EHCOSOR María Azucena, ,Frente Renovador ,Buenos Aires,AFIRMATIVO
97,150690,ELORRIAGA Osvaldo Enrique, ,Frente para la Victoria - PJ,Entre Ríos,AFIRMATIVO
97,150691,ESPER Laura Reneé, ,Frente Renovador ,Buenos Aires,AFIRMATIVO
97,150692,FABIANI Eduardo Alberto, ,Frente Renovador ,Buenos Aires,AFIRMATIVO
97,150693,FELETTI Roberto José, ,Frente para la Victoria - PJ,C.A.B.A.,AFIRMATIVO
97,150694,FERNÁNDEZ MENDÍA Gustavo Rodolfo, ,Partido Justicialista La Pampa,La Pampa,AFIRMATIVO
97,150695,FERNANDEZ SAGASTI Anabel, ,Frente para la Victoria - PJ,Mendoza,AFIRMATIVO
97,150696,FERREYRA Araceli Susana Del Rosario, ,Frente para la Victoria - PJ,Corrientes,AFIRMATIVO
97,150697,FIAD Mario Raymundo, ,Unión Cívica Radical,Jujuy,ABSTENCION
97,150698,FRANCIONI Fabián Marcelo, ,Frente para la Victoria - PJ,Córdoba,ABSTENCION
97,150699,GAGLIARDI Josué, ,Frente para la Victoria - PJ,Rio Negro,AFIRMATIVO
97,150700,GAILLARD Ana Carolina, ,Frente para la Victoria - PJ,Entre Ríos,AFIRMATIVO
97,150701,GALLARDO Miriam Graciela del Valle, ,Frente para la Victoria - PJ,Tucumán,AFIRMATIVO
97,150702,GARCIA Andrea Fabiana, ,Frente para la Victoria - PJ,Buenos Aires,AFIRMATIVO
97,150703,GARCÍA María Teresa, ,Frente para la Victoria - PJ,Buenos Aires,AUSENTE
97,150704,GARRIDO Manuel, ,Unión Cívica Radical,C.A.B.A.,ABSTENCION
97,150705,GDANSKY Carlos Enrique, ,Frente para la Victoria - PJ,Buenos Aires,AFIRMATIVO
97,150706,GERVASONI Lautaro, ,Frente para la Victoria - PJ,Entre Ríos,AFIRMATIVO
97,150707,GIACCONE Claudia Alejandra, ,Frente para la Victoria - PJ,Santa Fe,AFIRMATIVO
97,150708,GIACOMINO Daniel Oscar, ,Frente para la Victoria - PJ,Córdoba,ABSTENCION
97,150709,GIANNETTASIO Graciela María, ,Frente para la Victoria - PJ,Buenos Aires,AFIRMATIVO
97,150710,GILL Martín Rodrigo, ,Frente para la Victoria - PJ,Córdoba,ABSTENCION
97,150711,GIMÉNEZ Patricia Viviana, ,Unión Cívica Radical,Mendoza,ABSTENCION
97,150712,GIUBERGIA Miguel Angel, ,Unión Cívica Radical,Jujuy,ABSTENCION
97,150713,GIUSTOZZI Rubén Darío, ,Frente Renovador ,Buenos Aires,AFIRMATIVO
97,150714,GOMEZ BULL Mauricio Ricardo, ,Frente para la Victoria - PJ,Santa Cruz,AFIRMATIVO
97,150715,GONZÁLEZ Gladys Esther, ,Unión PRO,Buenos Aires,ABSTENCION
97,150716,GONZÁLEZ Josefina Victoria, ,Frente para la Victoria - PJ,Santa Fe,AFIRMATIVO
97,150717,GONZALEZ Juan Dante, ,Frente para la Victoria - PJ,Mendoza,AFIRMATIVO
97,150718,GONZALEZ Verónica Evangelina, ,Frente para la Victoria - PJ,Tierra del Fuego,AFIRMATIVO
97,150719,GRANADOS Dulce, ,Frente para la Victoria - PJ,Buenos Aires,AFIRMATIVO
97,150720,GRIBAUDO Christian Alejandro, ,Unión PRO,Buenos Aires,AUSENTE
97,150721,GROSSO Leonardo, ,Frente para la Victoria - PJ,Buenos Aires,AFIRMATIVO
97,150722,GUCCIONE José Daniel, ,Fte. Renov. de la Conc. Misiones - FPV-PJ,Misiones,AFIRMATIVO
97,150723,GUTIERREZ Héctor María, ,Unión Cívica Radical,Buenos Aires,ABSTENCION
97,150724,GUTIERREZ Mónica Edith, ,Frente para la Victoria - PJ,Córdoba,ABSTENCION
